Pound, 0x1C6F34, 0x2C9398
Acid Armour, 0x1CAED5, 0x2CD335
Crabhammer, 0x1CF907, 0x2D1CD0
Explosion, 0x1C8E15, 0x2CB275
Fury Swipes, 0x1D1CB3, 0x2D407C
Bonemerang, 0x1CF402, 0x2D17CC
Rest, 0x1CD3CB, 0x2CF7E4
Rock Slide, 0x1C9B8B, 0x2CBFEB
Hyper Fang, 0x1D2165, 0x2D452E
Sharpen, 0x1CAEEE, 0x2CD34E
Conversion, 0x1C9FA9, 0x2CC409
Tri Attack, 0x1D21CC, 0x2D4595
Super Fang, 0x1CAEFA, 0x2CD35A
Slash, 0x1CAF7B, 0x2CD3DB
Substitute, 0x1D3433, 0x2D5807
Struggle, 0x1CAFB5, 0x2CD415
Sketch, 0x1CB01B, 0x2CD47B
Triple Kick, 0x1CFECB, 0x2D2293
Thief, 0x1C9CCC, 0x2CC12C
Spider Web, 0x1D1518, 0x2D38E0
Mind Reader, 0x1CD1A8, 0x2CF5C1
Nightmare, 0x1CB043, 0x2CD4A3
Flame Wheel, 0x1C7602, 0x2C9A66
Snore, 0x1CDB98, 0x2CFF5D
Curse, 0x1D1829, 0x2D3BF2
Flail, 0x1CB099, 0x2CD4F9
Conversion 2, 0x1CA0BE, 0x2CC51E
Aeroblast, 0x1CF75D, 0x2D1B26
Cotton Spore, 0x1D0395, 0x2D275D
Reversal, 0x1C8445, 0x2CA8A5
Spite, 0x1CB0D6, 0x2CD536
Powder Snow, 0x1CE8F4, 0x2D0CB9
Protect, 0x1C8F55, 0x2CB3B5
Mach Punch, 0x1CB105, 0x2CD565
Scary Face, 0x1D1BA0, 0x2D3F69
Feint Attack, 0x1CDE9B, 0x2D0260
Sweet Kiss, 0x1D1C03, 0x2D3FCC
Belly Drum, 0x1CD0C0, 0x2CF4D9
Sludge Bomb, 0x1CF1E2, 0x2D15AC
Mud-Slap, 0x1CDFCA, 0x2D038F
Octazooka, 0x1D07BB, 0x2D2B83
Spikes, 0x1CF503, 0x2D18CD
Zap Cannon, 0x1D0ED0, 0x2D3298
Foresight, 0x1CB18D, 0x2CD5ED
Destiny Bond, 0x1CB1CC, 0x2CD62C
Perish Song, 0x1D1F41, 0x2D430A
Icy Wind, 0x1C9DF0, 0x2CC250
Detect, 0x1C8F72, 0x2CB3D2
Bone Rush, 0x1CF4B8, 0x2D1882
Lock-On, 0x1C9A84, 0x2CBEE4
Outrage, 0x1C94A8, 0x2CB908
Sandstorm, 0x1CFAB2, 0x2D1E7B
Giga Drain, 0x1CEE7D, 0x2D1242
Endure, 0x1CB227, 0x2CD687
Charm, 0x1CB2BB, 0x2CD71B
Rollout, 0x1CB2FE, 0x2CD75E
False Swipe, 0x1CB33F, 0x2CD79F
Swagger, 0x1CB3C6, 0x2CD826
Milk Drink, 0x1CB40E, 0x2CD86E
Spark, 0x1C9643, 0x2CBAA3
Fury Cutter, 0x1C88EA, 0x2CAD4A
Steel Wing, 0x1D0FB5, 0x2D337D
Mean Look, 0x1C9ABA, 0x2CBF1A
Attract, 0x1C985A, 0x2CBCBA
Sleep Talk, 0x1D20AA, 0x2D4473
Heal Bell, 0x1D196B, 0x2D3D34
Return, 0x1D36FA, 0x2D5ACE
Present, 0x1D1DC8, 0x2D4191
Frustration, 0x1C8FD0, 0x2CB430
Safeguard, 0x1C9297, 0x2CB6F7
Pain Split, 0x1C92D9, 0x2CB739
Sacred Fire, 0x1CD793, 0x2CFB58
Magnitude, 0x1CB450, 0x2CD8B0
Dynamicpunch, 0x1CFF92, 0x2D235A
Megahorn, 0x1CF55A, 0x2D1924
Dragonbreath, 0x1CD9AC, 0x2CFD71
Baton Pass, 0x1D1F1F, 0x2D42E8
Encore, 0x1D23FE, 0x2D47C7
Pursuit, 0x1C8520, 0x2CA980
Rapid Spin, 0x1CB4E1, 0x2CD941
Sweet Scent, 0x1D28BD, 0x2D4C86
Iron Tail, 0x1D1064, 0x2D342C
Metal Claw, 0x1D1128, 0x2D34F0
Vital Throw, 0x1D0129, 0x2D24F1
Morning Sun, 0x1D2829, 0x2D4BF2
Synthesis, 0x1CF107, 0x2D14CC
Moonlight, 0x1CB54E, 0x2CD9AE
Hidden Power, 0x1C835C, 0x2CA7BC
Cross Chop, 0x1CFD3C, 0x2D2105
Twister, 0x1D4D0E, 0x2D7024
Rain Dance, 0x1CE145, 0x2D050A
Sunny Day, 0x1D033F, 0x2D2707
Crunch, 0x1CE1EE, 0x2D05B3
Mirror Coat, 0x1CDCB4, 0x2D0079
Psych Up, 0x1C868A, 0x2CAAEA
Extremespeed, 0x1CB5DE, 0x2CDA3E
Ancientpower, 0x1D0693, 0x2D2A5B
Shadow Ball, 0x1D129D, 0x2D3665
Future Sight, 0x1CD4CF, 0x2CF8E8
Rock Smash, 0x1D01A4, 0x2D256C
Whirlpool, 0x1CFB3A, 0x2D1F03
Beat Up, 0x1C81CF, 0x2CA62F
Fake Out, 0x1D1B65, 0x2D3F2E
Uproar, 0x1CB69C, 0x2CDAFC
Stockpile, 0x1D256B, 0x2D4934
Spit Up, 0x1D2622, 0x2D49EB
Swallow, 0x1D2765, 0x2D4B2E
Heat Wave, 0x1CB766, 0x2CDBC6
Hail, 0x1CB816, 0x2CDC76
Torment, 0x1CB84E, 0x2CDCAE
Flatter, 0x1D2AE9, 0x2D4EB2
Will-O-Wisp, 0x1D2340, 0x2D4709
Memento, 0x1CB892, 0x2CDCF2
Facade, 0x1CB8D6, 0x2CDD36
Focus Punch, 0x1D3633, 0x2D5A07
Smellingsalt, 0x1CB8F6, 0x2CDD56
Follow Me, 0x1CB951, 0x2CDDB1
Nature Power, 0x1D0693, 0x2D2A5B
Charge, 0x1CB970, 0x2CDDD0
Taunt, 0x1CBA0B, 0x2CDE6B
Helping Hand, 0x1CBA5F, 0x2CDEBF
Trick, 0x1D24A5, 0x2D486E
Role Play, 0x1D2BE5, 0x2D4FAE
Wish, 0x1D2523, 0x2D48EC
Assist, 0x1CBAD2, 0x2CDF32
Ingrain, 0x1D1D17, 0x2D40E0
Superpower, 0x1CBB43, 0x2CDFA3
Magic Coat, 0x1D4889, 0x2D6C5D
Recycle, 0x1CBBFE, 0x2CE05E
Revenge, 0x1D335D, 0x2D5731
Brick Break, 0x1CBC32, 0x2CE092
Yawn, 0x1CBE37, 0x2CE253
Knock Off, 0x1D4A0F, 0x2D6DE3
Endeavor, 0x1CBE7A, 0x2CE296
Eruption, 0x1CBEEF, 0x2CE30B
Skill Swap, 0x1CBFBC, 0x2CE3D8
Imprison, 0x1CC007, 0x2CE423
Refresh, 0x1D2C42, 0x2D500B
Grudge, 0x1CC04A, 0x2CE466
Snatch, 0x1D414F, 0x2D6523
Secret Power, 0x1D4CBA, 0x2D6FD0
Dive, 0x1D4169, 0x2D653D
Arm Thrust, 0x1D2E93, 0x2D5267
Camouflage, 0x1CC072, 0x2CE48E
Tail Glow, 0x1CC0B8, 0x2CE4D4
Lustre Purge, 0x1CC0FB, 0x2CE517
Mist Ball, 0x1CC212, 0x2CE62E
Featherdance, 0x1CC2A1, 0x2CE6BD
Teeter Dance, 0x1CC371, 0x2CE78D
Blaze Kick, 0x1D2C85, 0x2D504E
Mud Sport, 0x1CC3DC, 0x2CE7F8
Ice Ball, 0x1D4F8E, 0x2D72A4
Needle Arm, 0x1CC513, 0x2CE92F
Slack Off, 0x1CC6C3, 0x2CEADF
Hyper Voice, 0x1D2D0D, 0x2D50D6
Poison Fang, 0x1D33F4, 0x2D57C8
Crush Claw, 0x1CC6DB, 0x2CEAF7
Blast Burn, 0x1D3C0E, 0x2D5FE2
Hydro Cannon, 0x1D45B2, 0x2D6986
Meteor Mash, 0x1D32D6, 0x2D56AA
Astonish, 0x1D46E4, 0x2D6AB8
Weather Ball, 0x1D515D, 0x2D7473
Aromatherapy, 0x1CC74B, 0x2CEB66
Fake Tears, 0x1CC8AD, 0x2CECC8
Air Cutter, 0x1CC93D, 0x2CED58
Overheat, 0x1D42C0, 0x2D6694
Odor Sleuth, 0x1CC99F, 0x2CEDBA
Rock Tomb, 0x1D3E50, 0x2D6224
Silver Wind, 0x1D3F37, 0x2D630B
Metal Sound, 0x1D35E3, 0x2D59B7
Grasswhistle, 0x1CC9E9, 0x2CEE04
Tickle, 0x1CCADC, 0x2CEEF7
Cosmic Power, 0x1D3B89, 0x2D5F5D
Water Spout, 0x1CCB48, 0x2CEF63
Signal Beam, 0x1CEAED, 0x2D0EB2
Shadow Punch, 0x1CCB76, 0x2CEF91
Extrasensory, 0x1CCBD1, 0x2CEFEC
Sky Uppercut, 0x1D4BC1, 0x2D6ED7
Sand Tomb, 0x1D2D96, 0x2D516A
Sheer Cold, 0x1D2E6E, 0x2D5242
Muddy Water, 0x1D2F28, 0x2D52FC
Bullet Seed, 0x1D2F3A, 0x2D530E
Aerial Ace, 0x1CCC39, 0x2CF054
Icicle Spear, 0x1C77C1, 0x2C9C25
Iron Defence, 0x1CCCA3, 0x2CF0BE
Block, 0x1CCCCD, 0x2CF0E8
Howl, 0x1CCCDC, 0x2CF0F7
Dragon Claw, 0x1D2FD0, 0x2D53A4
Frenzy Plant, 0x1D343F, 0x2D5813
Bulk Up, 0x1CCCFE, 0x2CF119
Bounce, 0x1CFC87, 0x2D2050
Mud Shot, 0x1D3239, 0x2D560D
Poison Tail, 0x1D10C2, 0x2D348A
Covet, 0x1CCD1C, 0x2CF137
Volt Tackle, 0x1CCD79, 0x2CF194
Magical Leaf, 0x1D4E6D, 0x2D7183
Water Sport, 0x1CCE71, 0x2CF28C
Calm Mind, 0x1CCE97, 0x2CF2B2
Leaf Blade, 0x1CCF17, 0x2CF330
Dragon Dance, 0x1CCF9A, 0x2CF3B3
Rock Blast, 0x1D4223, 0x2D65F7
Shock Wave, 0x1CD009, 0x2CF422
Water Pulse, 0x1D48A6, 0x2D6C7A
Doom Desire, 0x1D4A9F, 0x2D6E73
Psycho Boost, 0x1D499B, 0x2D6D6F
